timestamp_ms,temp_c,hum_pct,press_hpa,gas_ohm,AQI,dist_mm,speed,lat,lon,alt_m,fix,acc_x,acc_y,acc_z,ppg_red,ppg_ir
5053,19.59,54,998.2,5684,10,52,nan,nan,nan,nan,0,nan,nan,nan,0,0
10057,19.38,52.6,998.2,12688,10,19,nan,nan,nan,nan,0,nan,nan,nan,0,0
15041,19.34,51.8,998.3,19565,8,9,nan,nan,nan,nan,0,nan,nan,nan,0,0
20020,19.13,51.6,998.2,24975,7,41,nan,nan,nan,nan,0,nan,nan,nan,0,0
25038,19.18,51.9,998.2,31364,6,19,nan,nan,nan,nan,0,nan,nan,nan,0,0
30039,19.16,51.7,998.3,36488,5,14,nan,nan,nan,nan,0,nan,nan,nan,0,0
35045,19.11,51.5,998.3,40855,5,21,nan,nan,nan,nan,0,nan,nan,nan,0,0
40050,19.23,51.5,998.3,44614,5,10,nan,nan,nan,nan,0,nan,nan,nan,0,0
45055,19.21,51.3,998.3,49459,4,13,nan,nan,nan,nan,0,nan,nan,nan,0,0
50019,19.23,51.4,998.4,52117,4,45,nan,nan,nan,nan,0,nan,nan,nan,0,0
54970,19.12,51.8,998.3,53288,4,87,nan,nan,nan,nan,0,nan,nan,nan,0,0
60061,19.17,52.3,998.3,56164,4,29,nan,nan,nan,nan,0,nan,nan,nan,0,0
65031,19.27,52.1,998.3,59081,4,21,nan,nan,nan,nan,0,nan,nan,nan,0,0
69995,19.29,52,998.3,61642,3,9,nan,nan,nan,nan,0,nan,nan,nan,0,0
74970,19.31,51.9,998.3,64192,3,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
79992,19.28,51.8,998.3,64532,3,375,1.2,51.5127983,-0.1480283,172.1,1,nan,nan,nan,0,0
84981,19.18,51.8,998.2,67173,3,103,1.2,51.5127602,-0.1480066,177,1,nan,nan,nan,0,0
89976,19.16,51.6,998.2,69021,3,0,0.9,51.5127182,-0.1480116,182.4,1,nan,nan,nan,0,0
94978,19.15,51.5,998.3,70156,3,0,1.1,51.5126686,-0.1479749,186,1,nan,nan,nan,0,0
99988,19.1,51.4,998.2,71091,3,22,1.5,51.5126076,-0.1478599,185.4,1,nan,nan,nan,0,0
104980,19.07,51.5,998.2,72727,3,105,2.6,51.5124893,-0.1475249,191,1,nan,nan,nan,0,0
109979,19.02,51.4,998.3,73226,3,307,3.1,51.5124397,-0.1473949,191,1,nan,nan,nan,0,0
114981,19.1,51.3,998.3,75029,3,434,2.1,51.5124512,-0.1475016,180.7,1,nan,nan,nan,0,0
119985,18.97,51.3,998.2,76372,3,60,0.9,51.5124321,-0.1475033,179.8,1,nan,nan,nan,0,0
124964,18.93,51.5,998.2,74505,3,10,1.9,51.5123711,-0.1474399,181.5,1,nan,nan,nan,0,0
129975,18.85,51.6,998.2,77835,2,10,2.5,51.5123062,-0.1473999,181.5,1,nan,nan,nan,0,0
134981,18.75,51.4,998.2,79503,2,268,2.3,51.5122681,-0.1474849,181.5,1,nan,nan,nan,0,0
139977,18.44,51.3,998.2,82500,2,98,2.8,51.5123253,-0.1478849,169.4,1,nan,nan,nan,0,0
144974,18.19,51.3,998.2,85219,2,16,1.6,51.5123291,-0.1479849,165.9,1,nan,nan,nan,0,0
149960,17.9,51.4,998.2,86166,2,14,0.3,51.5123291,-0.1480316,167.8,1,nan,nan,nan,0,0
154962,17.64,51.7,998.2,87581,2,18,0.3,51.5123329,-0.1480249,168.8,1,nan,nan,nan,0,0
159969,17.25,52.2,998.2,86515,2,184,0.3,51.5123291,-0.1480416,168.8,1,nan,nan,nan,0,0
164974,17.15,52.7,998.2,88215,2,316,0.7,51.5123291,-0.1480483,168.8,1,nan,nan,nan,0,0
169968,16.75,53,998.2,89698,2,16,0.4,51.5123329,-0.1480349,168.8,1,nan,nan,nan,0,0
174975,16.69,53.4,998.2,89323,2,11,0.5,51.5123405,-0.1480266,168.8,1,nan,nan,nan,0,0
179985,16.7,53.8,998.2,88489,2,19,0.8,51.5123482,-0.1480383,168.5,1,nan,nan,nan,0,0
184981,16.68,54,998.2,89887,2,19,0.2,51.5123444,-0.1480283,168.5,1,nan,nan,nan,0,0
189979,16.69,54.1,998.3,89323,2,12,1.6,51.5123177,-0.1480049,168.6,1,nan,nan,nan,0,0
194968,16.71,54.2,998.2,96240,2,22,2,51.5122643,-0.1479483,168.5,1,nan,nan,nan,0,0
199989,16.55,54.2,998.2,95061,2,28,3.3,51.5122108,-0.1478616,167.2,1,nan,nan,nan,0,0
204991,16.04,54.4,998.2,96622,2,11,2,51.5121651,-0.1477633,167.3,1,nan,nan,nan,0,0
209973,16.4,54.7,998.2,98575,2,60,1.6,51.5121231,-0.1477549,169.4,1,nan,nan,nan,0,0
214976,16.26,54.9,998.3,96786,2,22,1.5,51.5120544,-0.1475433,170.4,1,nan,nan,nan,0,0
219971,16.29,55,998.2,97006,2,21,3.5,51.512001,-0.1475166,169.7,1,nan,nan,nan,0,0
224973,16.06,54.9,998.2,99610,2,17,3,51.5119553,-0.1474833,169.6,1,nan,nan,nan,0,0
229961,15.55,55,998.3,101446,1,27,3.2,51.511898,-0.1474516,170.8,1,nan,nan,nan,0,0
234995,15.32,55.5,998.2,101688,1,11,2.2,51.5118294,-0.1474399,171.2,1,nan,nan,nan,0,0
239995,15.29,55.9,998.2,101688,1,24,2.1,51.5117645,-0.1474066,172.2,1,nan,nan,nan,0,0
