timestamp_ms,temp_c,hum_pct,press_hpa,gas_ohm,AQI,dist_mm,speed,lat,lon,alt_m,fix,acc_x,acc_y,acc_z,ppg_red,ppg_ir
5051,21.9,70.9,1000.5,7916,10,576,nan,nan,nan,nan,0,nan,nan,nan,0,0
10054,21.81,69.6,1000.5,16806,8,18,nan,nan,nan,nan,0,nan,nan,nan,0,0
15028,21.91,68.0,1000.5,24990,7,383,nan,nan,nan,nan,0,nan,nan,nan,0,0
20006,22.01,66.7,1000.5,29725,6,460,nan,nan,nan,nan,0,nan,nan,nan,0,0
24997,22.05,65.9,1000.5,36209,5,47,nan,nan,nan,nan,0,nan,nan,nan,0,0
29990,22.07,64.5,1000.5,41898,4,258,nan,nan,nan,nan,0,nan,nan,nan,0,0
34991,22.1,63.3,1000.5,45911,4,253,nan,nan,nan,nan,0,nan,nan,nan,0,0
39991,22.11,62.5,1000.5,50363,4,343,nan,nan,nan,nan,0,nan,nan,nan,0,0
44992,22.13,61.7,1000.5,53758,3,324,nan,nan,nan,nan,0,nan,nan,nan,0,0
49994,22.14,61.2,1000.5,56017,3,323,nan,nan,nan,nan,0,nan,nan,nan,0,0
54969,22.11,60.9,1000.5,57800,3,322,nan,nan,nan,nan,0,nan,nan,nan,0,0
60089,22.14,60.7,1000.5,59911,3,324,nan,nan,nan,nan,0,nan,nan,nan,0,0
65085,22.12,60.5,1000.5,60505,3,325,nan,nan,nan,nan,0,nan,nan,nan,0,0
70089,22.16,60.4,1000.5,61865,3,323,nan,nan,nan,nan,0,nan,nan,nan,0,0
75089,22.17,60.3,1000.5,63054,3,325,nan,nan,nan,nan,0,nan,nan,nan,0,0
80092,22.18,60.2,1000.4,64192,3,323,nan,nan,nan,nan,0,nan,nan,nan,0,0
85091,22.19,60.0,1000.5,64974,3,326,nan,nan,nan,nan,0,nan,nan,nan,0,0
90092,22.2,60.0,1000.5,65725,3,324,nan,nan,nan,nan,0,nan,nan,nan,0,0
95071,22.22,59.9,1000.5,66286,3,327,nan,nan,nan,nan,0,nan,nan,nan,0,0
100050,22.23,59.8,1000.5,66963,3,326,nan,nan,nan,nan,0,nan,nan,nan,0,0
105048,22.19,59.7,1000.5,66963,3,326,nan,nan,nan,nan,0,nan,nan,nan,0,0
110049,22.19,59.7,1000.4,67546,2,326,nan,nan,nan,nan,0,nan,nan,nan,0,0
115048,22.18,59.6,1000.5,68139,2,327,nan,nan,nan,nan,0,nan,nan,nan,0,0
120050,22.17,59.6,1000.5,67653,2,312,nan,nan,nan,nan,0,nan,nan,nan,0,0
125054,22.18,59.7,1000.4,68303,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
130054,22.2,59.8,1000.4,68139,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
135033,22.22,59.8,1000.4,68632,2,286,nan,nan,nan,nan,0,nan,nan,nan,0,0
140011,22.23,60.0,1000.5,68248,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
145008,22.23,60.2,1000.5,68632,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
150008,22.25,60.1,1000.5,68687,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
155008,22.18,60.0,1000.5,68303,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
160008,22.31,59.9,1000.5,69640,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
165009,22.33,59.8,1000.5,69754,2,290,nan,nan,nan,nan,0,nan,nan,nan,0,0
170009,22.35,59.7,1000.5,70329,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
174991,22.37,59.9,1000.5,69926,2,283,nan,nan,nan,nan,0,nan,nan,nan,0,0
179969,22.39,59.9,1000.5,69926,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
184964,22.38,60.0,1000.5,69926,2,285,nan,nan,nan,nan,0,nan,nan,nan,0,0
189963,22.38,60.1,1000.4,69868,2,286,nan,nan,nan,nan,0,nan,nan,nan,0,0
194965,22.39,60.0,1000.5,69754,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
199968,22.41,60.0,1000.5,70098,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
204967,22.43,59.9,1000.5,69983,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
209969,22.45,59.8,1000.5,69868,2,284,nan,nan,nan,nan,0,nan,nan,nan,0,0
215094,22.47,59.8,1000.5,69926,2,230,nan,nan,nan,nan,0,nan,nan,nan,0,0
220071,22.49,59.9,1000.5,69926,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
225064,22.51,59.8,1000.5,70041,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
230059,22.46,59.7,1000.5,70213,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
235066,22.52,59.5,1000.5,71269,2,218,nan,nan,nan,nan,0,nan,nan,nan,0,0
240066,22.55,59.3,1000.5,71628,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
245069,22.57,59.3,1000.5,71210,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
250069,22.59,59.3,1000.5,71150,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
255051,22.61,59.1,1000.5,71508,2,223,nan,nan,nan,nan,0,nan,nan,nan,0,0
260029,22.63,58.9,1000.5,71388,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
265023,22.67,58.7,1000.5,72112,2,223,nan,nan,nan,nan,0,nan,nan,nan,0,0
270021,22.68,58.6,1000.5,71688,2,222,nan,nan,nan,nan,0,nan,nan,nan,0,0
275021,22.7,58.5,1000.5,71568,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
280022,22.71,58.4,1000.5,71869,2,225,nan,nan,nan,nan,0,nan,nan,nan,0,0
285021,22.73,58.4,1000.5,71930,2,225,nan,nan,nan,nan,0,nan,nan,nan,0,0
290021,22.74,58.3,1000.4,72357,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
295006,22.76,58.3,1000.4,72234,2,225,nan,nan,nan,nan,0,nan,nan,nan,0,0
299983,22.79,58.2,1000.5,71930,2,225,nan,nan,nan,nan,0,nan,nan,nan,0,0
304975,22.79,58.1,1000.4,71508,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
309972,22.81,58.1,1000.4,71991,2,225,nan,nan,nan,nan,0,nan,nan,nan,0,0
314972,22.82,58.0,1000.5,72234,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
319971,22.84,58.0,1000.5,71809,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
324970,22.85,57.9,1000.5,71930,2,223,nan,nan,nan,nan,0,nan,nan,nan,0,0
329972,22.86,57.9,1000.5,71869,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
334958,22.88,57.8,1000.4,71508,2,225,nan,nan,nan,nan,0,nan,nan,nan,0,0
340078,22.88,57.7,1000.5,72051,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
345070,22.89,57.7,1000.5,71688,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
350066,22.9,57.7,1000.5,71809,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
355067,22.85,57.9,1000.5,71091,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
360071,22.91,58.1,1000.5,71388,2,224,nan,nan,nan,nan,0,nan,nan,nan,0,0
365072,22.91,58.3,1000.5,70737,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
370072,22.9,58.3,1000.5,70914,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
375056,22.91,58.3,1000.5,71091,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
380034,22.93,58.2,1000.5,71388,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
385023,22.9,58.0,1000.5,71628,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
390021,22.9,57.8,1000.5,71032,2,228,nan,nan,nan,nan,0,nan,nan,nan,0,0
395020,22.93,57.8,1000.5,71210,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
400022,22.92,57.8,1000.5,70855,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
405023,22.89,57.8,1000.5,71091,2,228,nan,nan,nan,nan,0,nan,nan,nan,0,0
410023,22.91,57.6,1000.5,71388,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
415011,22.89,57.5,1000.5,71269,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
419987,22.89,57.4,1000.4,71508,2,227,nan,nan,nan,nan,0,nan,nan,nan,0,0
424977,22.9,57.3,1000.5,71388,2,226,nan,nan,nan,nan,0,nan,nan,nan,0,0
