timestamp_ms,temp_c,hum_pct,press_hpa,gas_ohm,AQI,dist_mm,speed,lat,lon,alt_m,fix,acc_x,acc_y,acc_z,ppg_red,ppg_ir
10031,16.0,64.2,1015.5,35193,5,52,0.0,nan,nan,nan,0,nan,nan,nan,0,0
19988,15.58,63.7,1015.4,63007,3,41,0.0,nan,nan,nan,0,nan,nan,nan,0,0
30000,15.47,63.6,1015.5,82182,2,44,0.0,nan,nan,nan,0,nan,nan,nan,0,0
40016,14.93,63.8,1015.5,96078,1,16,0.0,nan,nan,nan,0,nan,nan,nan,0,0
49982,14.64,64.0,1015.5,81223,2,26,0.0,nan,nan,nan,0,nan,nan,nan,0,0
60018,14.35,64.3,1015.6,80293,2,18,0.0,nan,nan,nan,0,nan,nan,nan,0,0
70010,14.34,64.7,1015.5,119402,1,47,0.0,nan,nan,nan,0,nan,nan,nan,0,0
80018,14.66,64.8,1015.5,124725,1,17,0.0,nan,nan,nan,0,nan,nan,nan,0,0
89980,14.71,64.8,1015.5,127712,1,29,0.0,nan,nan,nan,0,nan,nan,nan,0,0
100022,14.68,65.0,1015.5,129162,1,16,0.0,nan,nan,nan,0,nan,nan,nan,0,0
109976,14.43,65.0,1015.5,135953,1,49,0.0,nan,nan,nan,0,nan,nan,nan,0,0
120028,14.29,65.3,1015.6,79905,2,45,0.0,nan,nan,nan,0,nan,nan,nan,0,0
129961,14.56,65.2,1015.6,81002,2,46,0.0,nan,nan,nan,0,nan,nan,nan,0,0
140027,14.76,65.1,1015.6,76687,2,184,0.0,nan,nan,nan,0,nan,nan,nan,0,0
150052,14.73,65.2,1015.6,145952,1,73,0.0,nan,nan,nan,0,nan,nan,nan,0,0
160097,14.33,65.5,1015.5,148491,1,49,2.8,51.496067,-0.1790032,14.5,1,nan,nan,nan,0,0
169971,14.03,66.0,1015.6,78862,2,50,1.7,51.4960976,-0.1790732,19.9,1,nan,nan,nan,0,0
179966,14.21,66.3,1015.6,75677,2,34,1.0,51.4960709,-0.1790766,20.9,1,nan,nan,nan,0,0
189956,14.37,70.3,1015.6,79873,2,38,1.6,51.4959259,-0.1790432,20.8,1,nan,nan,nan,0,0
200057,14.48,62.4,1015.6,78998,2,42,5.1,51.4951439,-0.1787832,28.6,1,nan,nan,nan,0,0
