timestamp_ms,temp_c,hum_pct,press_hpa,gas_ohm,AQI,dist_mm,speed,lat,lon,alt_m,fix,acc_x,acc_y,acc_z,ppg_red,ppg_ir
9975,13.96,72.6,1020.1,6385,10,1,0.0,nan,nan,nan,0,nan,nan,nan,0,0
19971,13.32,71.7,1020.1,13672,9,27,0.0,nan,nan,nan,0,nan,nan,nan,0,0
29985,13.02,71.4,1020.1,20311,8,83,0.0,nan,nan,nan,0,nan,nan,nan,0,0
40003,12.8,71.3,1020.1,26711,6,10,0.0,nan,nan,nan,0,nan,nan,nan,0,0
49993,12.1,71.1,1020.1,31952,6,14,0.0,nan,nan,nan,0,nan,nan,nan,0,0
60016,11.8,70.9,1020.1,37220,5,27,0.0,nan,nan,nan,0,nan,nan,nan,0,0
70085,11.9,70.8,1020.1,42695,4,155,0.0,nan,nan,nan,0,nan,nan,nan,0,0
80057,11.5,70.8,1020.1,46817,4,68,0.0,nan,nan,nan,0,nan,nan,nan,0,0
90048,11.05,71.0,1020.0,51581,4,39,2.7,51.5125732,-0.2254149,89.5,1,nan,nan,nan,0,0
100015,11.08,70.7,1020.0,56128,3,19,3.7,51.5126877,-0.2253882,71.4,1,nan,nan,nan,0,0
109958,10.72,70.7,1020.0,61776,3,124,2.0,51.5129128,-0.2249732,15.1,1,nan,nan,nan,0,0
119963,10.59,70.5,1020.0,64000,3,133,3.4,51.5130768,-0.2250282,23.3,1,nan,nan,nan,0,0
129963,10.61,70.7,1020.0,67706,2,67,2.9,51.5132065,-0.2251549,27.5,1,nan,nan,nan,0,0
139984,10.07,71.0,1020.0,71930,2,122,2.7,51.513298,-0.2252349,30.5,1,nan,nan,nan,0,0
149969,10.02,71.1,1020.1,73605,2,92,2.8,51.5134201,-0.2253566,33.4,1,nan,nan,nan,0,0
159962,10.17,71.4,1020.0,76032,2,27,2.9,51.5135689,-0.2254166,35.1,1,nan,nan,nan,0,0
170002,10.01,71.7,1020.0,79207,2,41,2.9,51.5136719,-0.2254449,29.4,1,nan,nan,nan,0,0
180002,10.22,72.2,1020.1,80706,2,2409,2.2,51.5137901,-0.2254732,28.0,1,nan,nan,nan,0,0
189991,9.92,71.9,1020.0,83797,2,47,3.3,51.5139046,-0.2255349,25.9,1,nan,nan,nan,0,0
199984,9.77,72.0,1019.9,86779,1,73,2.4,51.5140228,-0.2255282,21.6,1,nan,nan,nan,0,0
209975,10.3,72.1,1019.9,88123,1,18,2.4,51.5141335,-0.2256016,21.4,1,nan,nan,nan,0,0
219990,9.93,72.1,1019.9,90267,1,64,2.1,51.5142403,-0.2256182,22.4,1,nan,nan,nan,0,0
230000,9.96,72.2,1019.8,91526,1,79,0.0,51.5143433,-0.2256749,23.8,1,nan,nan,nan,0,0
239992,9.63,72.2,1019.8,94325,1,7,2.8,51.5144653,-0.2257232,23.7,1,nan,nan,nan,0,0
250018,9.78,72.4,1019.8,95808,1,48,3.2,51.514576,-0.2257532,24.8,1,nan,nan,nan,0,0
259960,9.89,72.4,1019.7,98918,1,49,3.1,51.5147057,-0.2257966,25.6,1,nan,nan,nan,0,0
270007,9.62,72.4,1019.7,100549,1,45,2.5,51.5148087,-0.2257432,26.2,1,nan,nan,nan,0,0
280007,9.91,72.5,1019.6,103664,1,48,2.4,51.5149307,-0.2258016,26.2,1,nan,nan,nan,0,0
289991,9.7,72.9,1019.6,104617,1,45,3.1,51.5150375,-0.2259066,26.5,1,nan,nan,nan,0,0
300050,9.75,73.1,1019.7,105393,1,47,6.1,51.5152512,-0.2260282,26.9,1,nan,nan,nan,0,0
309980,10.02,73.0,1019.6,107112,1,46,0.0,51.5153885,-0.2261132,28.3,1,nan,nan,nan,0,0
320008,9.85,73.0,1019.6,107180,1,43,0.0,51.5154076,-0.2261266,28.8,1,nan,nan,nan,0,0
330006,9.87,72.8,1019.6,110226,1,43,0.8,51.5154266,-0.2261532,29.1,1,nan,nan,nan,0,0
339998,9.84,72.6,1020.2,113525,1,28,2.2,51.5154762,-0.2261416,30.4,1,nan,nan,nan,0,0
349996,9.85,72.5,1019.8,112403,1,21,0.0,51.5155373,-0.2261249,31.4,1,nan,nan,nan,0,0
360001,9.77,72.3,1019.8,114285,1,24,0.7,51.5155487,-0.2260449,31.3,1,nan,nan,nan,0,0
370002,9.73,72.2,1019.8,115445,1,45,0.7,51.5155487,-0.2259916,31.0,1,nan,nan,nan,0,0
379999,9.85,72.1,1019.8,115601,1,16,1.1,51.515564,-0.2259782,30.7,1,nan,nan,nan,0,0
389991,9.64,72.1,1019.8,115601,1,37,0.9,51.5155792,-0.2259816,30.6,1,nan,nan,nan,0,0
399983,9.86,72.0,1019.8,116868,1,18,0.7,51.5155296,-0.2259699,30.8,1,nan,nan,nan,0,0
410019,9.84,72.0,1019.8,120925,1,32,1.6,51.5155907,-0.2259482,31.3,1,nan,nan,nan,0,0
419991,9.75,72.1,1019.8,122752,1,45,0.0,51.5156288,-0.2259582,33.1,1,nan,nan,nan,0,0
429994,9.82,72.2,1019.8,121183,1,30,0.0,51.5156593,-0.2259516,33.5,1,nan,nan,nan,0,0
440002,9.74,72.2,1019.8,119654,1,34,1.0,51.5157242,-0.2258982,34.7,1,nan,nan,nan,0,0
449988,9.73,72.2,1019.8,121788,1,38,1.9,51.5156975,-0.2258366,35.6,1,nan,nan,nan,0,0
459967,9.88,72.3,1019.8,124091,1,32,0.0,51.5156822,-0.2258266,35.6,1,nan,nan,nan,0,0
469980,9.82,72.3,1019.8,124000,1,25,0.8,51.5156937,-0.2258266,35.6,1,nan,nan,nan,0,0
480006,9.96,72.3,1019.8,121269,1,0,0.0,51.5157394,-0.2258616,35.6,1,nan,nan,nan,0,0
489990,10.01,72.3,1019.8,123462,1,18,0.0,51.5157394,-0.2258782,35.9,1,nan,nan,nan,0,0
500026,9.85,72.4,1019.8,127904,1,17,0.0,51.5157509,-0.2258766,36.2,1,nan,nan,nan,0,0
510048,9.82,72.5,1019.8,124091,1,2,0.0,51.51577,-0.2258816,36.3,1,nan,nan,nan,0,0
520021,9.94,72.5,1019.7,125551,1,39,0.7,51.5157776,-0.2258749,36.3,1,nan,nan,nan,0,0
530024,9.66,72.6,1019.7,126295,1,16,0.8,51.5157776,-0.2258582,36.5,1,nan,nan,nan,0,0
540013,9.71,72.5,1019.8,129653,1,0,0.0,51.5157738,-0.2258832,36.4,1,nan,nan,nan,0,0
550008,9.79,72.8,1019.8,130445,1,38,0.0,51.5157738,-0.2258849,36.3,1,nan,nan,nan,0,0
559970,9.83,73.1,1019.8,132573,1,5,0.0,51.51577,-0.2258666,36.2,1,nan,nan,nan,0,0
569964,9.81,73.5,1019.8,132573,1,37,0.0,51.5157661,-0.2258549,36.2,1,nan,nan,nan,0,0
579971,9.81,73.8,1019.8,132265,1,21,0.0,51.5157394,-0.2258166,36.0,1,nan,nan,nan,0,0
589964,9.86,74.2,1019.8,135306,1,27,0.7,51.5157471,-0.2258066,35.9,1,nan,nan,nan,0,0
600033,9.81,74.5,1019.8,137486,1,6,0.0,51.5157509,-0.2257782,35.3,1,nan,nan,nan,0,0
610050,9.85,74.8,1019.8,136387,1,50,0.0,51.5157433,-0.2257966,35.0,1,nan,nan,nan,0,0
619958,9.83,74.9,1019.8,135737,1,22,0.0,51.5157433,-0.2257982,35.0,1,nan,nan,nan,0,0
629974,9.76,75.2,1019.8,135953,1,6,0.0,51.5157433,-0.2258016,35.2,1,nan,nan,nan,0,0
639973,9.74,75.4,1019.8,135737,1,45,0.0,51.5157433,-0.2258049,35.1,1,nan,nan,nan,0,0
650034,9.72,75.6,1019.8,137931,1,29,0.0,51.5157318,-0.2258066,35.2,1,nan,nan,nan,0,0
660043,9.84,75.8,1019.8,139054,1,0,0.0,51.5157394,-0.2258116,35.2,1,nan,nan,nan,0,0
669964,9.79,75.8,1019.8,138941,1,0,0.0,51.5157394,-0.2258116,35.3,1,nan,nan,nan,0,0
680004,9.95,76.0,1019.8,137375,1,37,1.0,51.5157318,-0.2258182,35.4,1,nan,nan,nan,0,0
690058,9.82,76.0,1019.8,137819,1,50,0.8,51.5157166,-0.2258332,35.0,1,nan,nan,nan,0,0
699985,9.96,75.8,1019.8,135092,1,11,0.0,51.5157166,-0.2258332,35.2,1,nan,nan,nan,0,0
710045,9.72,75.6,1019.8,136496,1,47,0.0,51.5157051,-0.2258349,35.2,1,nan,nan,nan,0,0
720068,9.82,75.3,1019.8,134772,1,33,0.0,51.5157089,-0.2258382,35.1,1,nan,nan,nan,0,0
730042,9.71,75.1,1019.8,136606,1,61,0.0,51.5157089,-0.2258449,35.1,1,nan,nan,nan,0,0
739990,9.8,74.9,1019.7,138378,1,21,0.0,51.5157089,-0.2258299,34.9,1,nan,nan,nan,0,0
750072,9.88,74.8,1019.8,137819,1,23,0.8,51.5157051,-0.2258316,34.7,1,nan,nan,nan,0,0
760026,9.79,74.7,1019.7,139395,1,32,0.0,51.515686,-0.2258399,34.4,1,nan,nan,nan,0,0
770012,9.8,74.7,1019.8,139967,1,0,0.0,51.515686,-0.2258432,34.3,1,nan,nan,nan,0,0
779986,9.85,75.0,1019.8,141241,1,17,0.0,51.5156898,-0.2258449,34.5,1,nan,nan,nan,0,0
790044,9.97,75.3,1019.8,144225,1,17,0.0,51.5156898,-0.2258449,34.7,1,nan,nan,nan,0,0
800025,9.75,75.6,1019.8,143497,1,16,0.0,51.5156898,-0.2258516,34.6,1,nan,nan,nan,0,0
809975,9.74,76.0,1019.8,140659,1,37,0.0,51.515686,-0.2258499,34.7,1,nan,nan,nan,0,0
