timestamp_ms,temp_c,hum_pct,press_hpa,gas_ohm,AQI,dist_mm,speed,lat,lon,alt_m,fix,acc_x,acc_y,acc_z,ppg_red,ppg_ir
10045.0,16.56,55.8,1013.5,35468.0,5.0,72.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
20030.0,16.22,55.9,1013.4,38762.0,5.0,58.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
30047.0,16.13,56.2,1013.5,82469.0,2.0,99.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
40038.0,16.16,56.3,1013.5,136521.0,1.0,80.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
50029.0,15.93,56.4,1013.6,81548.0,2.0,24.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
60059.0,15.92,56.4,1013.6,79991.0,2.0,85.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
69991.0,15.65,56.2,1013.4,82341.0,2.0,44.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
80057.0,15.72,56.3,1013.5,125021.0,1.0,48.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
89981.0,15.19,55.8,1013.5,128001.0,1.0,89.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
99988.0,15.46,56.0,1013.5,128941.0,1.0,26.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
109934.0,15.51,56.1,1013.6,136328.0,1.0,28.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
119986.0,15.1,56.0,1013.7,80100.0,2.0,44.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
129959.0,15.32,56.0,1013.6,81026.0,2.0,31.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
140046.0,14.81,55.8,1013.6,138972.0,1.0,38.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
150068.0,14.82,55.6,1013.5,146176.0,1.0,55.0,0.0,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0
160058.0,14.79,55.8,1013.6,148164.0,1.0,51.0,0.0,nan,nan,nan,1.0,nan,nan,nan,0.0,0.0
169932.0,14.45,55.9,1013.5,78862.0,2.0,82.0,0.0,nan,nan,nan,1.0,nan,nan,nan,0.0,0.0
179937.0,14.76,56.4,1013.6,79270.0,2.0,78.0,0.0,nan,nan,nan,1.0,nan,nan,nan,0.0,0.0
